Nombre;Latitud;Longitud;Dependencia;Region;Comuna;Ruralidad;Matricula_Total
Colegio Municipal Lo Cartagena;-34,382561;-70,865959;Municipal;LGBO;Rengo;Rural;163
Escuela Gustavo Bisquertt S.;-34,440819;-70,780777;Municipal;LGBO;Rengo;Rural;78
Colegio Municipal El Cerrillo;-34,39682;-70,781891;Municipal;LGBO;Rengo;Rural;90
Escuela La Isla Emma Escobar De Lagos;-34,38385;-70,845428;Municipal;LGBO;Rengo;Urbano;289
Colegio Municipal De Apalta;-34,339981;-70,865883;Municipal;LGBO;Rengo;Rural;216
Escuela Basica Victor Nicoletti Tamanini;-34,415218;-70,789139;Municipal;LGBO;Rengo;Rural;189
Colegio Municipal Villa Del Cobil;-34,394989;-70,886421;Municipal;LGBO;Rengo;Rural;105
Escuela Marta Avaria Salvatierra;-34,410759;-70,813332;Municipal;LGBO;Rengo;Rural;68
Colegio San Antonio Del Baluarte;-34,40015;-70,868179;Part. Subvencionado;LGBO;Rengo;Urbano;1321
Centro Educacional Asuncion;-34,409828;-70,855843;Part. Subvencionado;LGBO;Rengo;Urbano;798
Esc.Alcides Reyes Frias;-34,444889;-70,945633;Municipal;LGBO;Malloa;Urbano;297
Escuela Pelequen;-34,463661;-70,896187;Municipal;LGBO;Malloa;Urbano;223
Escuela Municipal De Panquehue;-34,408791;-70,918793;Municipal;LGBO;Malloa;Rural;241
Escuela Municipal De Limahue;-34,464909;-70,92408;Municipal;LGBO;Malloa;Rural;228
Escuela Municipal De Corcolen;-34,40733;-71,000816;Municipal;LGBO;Malloa;Rural;137
Escuela Municipal De Pelequen Viejo;-34,44784927;-70,90174103;Municipal;LGBO;Malloa;Rural;0
Liceo Republica De Italia;-34,353062;-70,964691;Municipal;LGBO;Quinta De Tilcoco;Urbano;676
Violeta Fuentes Carvajal;-34,367619;-71,028847;Municipal;LGBO;Quinta De Tilcoco;Rural;215
Escuela Amparo Rayo Horta;-34,353149;-71,014664;Municipal;LGBO;Quinta De Tilcoco;Rural;145
Escuela Rural La Vinilla;-34,418739;-71,116577;Municipal;LGBO;San Vicente;Rural;19
Escuela Jaime Feldman Miller;-34,336418;-70,965378;Municipal;LGBO;Quinta De Tilcoco;Rural;221
Colegio Raúl Ramírez Mayol;-34,371159;-70,981491;Municipal;LGBO;Quinta De Tilcoco;Rural;167
Colegio Sagrado Corazon De Jesus;-34,353859;-70,96273;Part. Subvencionado;LGBO;Quinta De Tilcoco;Urbano;794
Colegio Municipal De Educacion Especial;-34,35415268;-70,96672058;Municipal;LGBO;Quinta De Tilcoco;Urbano;28
Escuela Especial Paula Jaraquemada;-34,44072723;-71,07723236;Municipal;LGBO;San Vicente;Urbano;96
Liceo Ignacio Carrera Pinto;-34,441521;-71,079399;Municipal;LGBO;San Vicente;Urbano;1503
Esc.Carmen Gallegos De Roble;-34,441029;-71,07753;Municipal;LGBO;San Vicente;Urbano;873
Centro Educ. Requegua;-34,450459;-71,008591;Municipal;LGBO;San Vicente;Rural;77
Esc.Guido Assis Gonzalez;-34,476959;-70,980652;Municipal;LGBO;San Vicente;Rural;123
Escuela Municipal Rastrojos;-34,463638;-71,028313;Municipal;LGBO;San Vicente;Rural;159
Esc. Enrique Yanez Gonzalez;-34,418739;-71,116943;Municipal;LGBO;San Vicente;Rural;66
Escuela El Libertador;-34,438499;-71,101967;Municipal;LGBO;San Vicente;Rural;99
Esc.Juan Barros Roldan;-34,496422;-71,074059;Municipal;LGBO;San Vicente;Rural;178
Escuela Municipal Zuniga;-34,414928;-71,1157;Municipal;LGBO;San Vicente;Rural;452
Escuela Municipal Toquihua;-34,37896;-71,12233;Municipal;LGBO;San Vicente;Rural;64
Esc.Parroco M.Bustamante;-34,429981;-71,057411;Municipal;LGBO;San Vicente;Rural;146
Escuela Municipal Vina Tagua Tagua;-34,457321;-71,109917;Municipal;LGBO;San Vicente;Rural;154
Escuela San Alberto De Idahue;-34,517181;-71,205757;Municipal;LGBO;San Vicente;Rural;9
Escuela Las Pataguas;-34,50828171;-71,13108063;Municipal;LGBO;San Vicente;Rural;14
Colegio El Salvador;-34,439049;-71,084999;Part. Subvencionado;LGBO;San Vicente;Urbano;1083
Colegio Santa Ines;-34,43927;-71,086472;Part. Subvencionado;LGBO;San Vicente;Urbano;751
Jardin Infantil El Principito Valiente;-34,43751144;-71,08465576;Part. Subvencionado;LGBO;San Vicente;Urbano;58
Escuela Larmahue;-34,413479;-71,24247;Municipal;LGBO;Pichidegua;Rural;176
Centro Educativo Siglo Xxi;-34,366261;-71,265259;Municipal;LGBO;Pichidegua;Rural;177
Escuela Enrique Serrano De Viale Rigo;-34,356171;-71,283821;Municipal;LGBO;Pichidegua;Urbano;304
Escuela Amelia Lynch De Lyon;-34,408218;-71,301964;Municipal;LGBO;Pichidegua;Rural;230
Escuela Municipal De San Roberto;-34,401371;-71,366707;Municipal;LGBO;Pichidegua;Rural;241
Escuela Reino De Dinamarca;-34,309929;-71,344292;Municipal;LGBO;Pichidegua;Rural;189
Escuela Basica Pataguas Cerro;-34,308109;-71,389183;Municipal;LGBO;Pichidegua;Rural;240
Escuela Fernando Huerta Pena;-34,417332;-71,194839;Municipal;LGBO;Pichidegua;Rural;42
Escuela Basica Jose Bernales Castillo;-34,35754;-71,412109;Municipal;LGBO;Pichidegua;Rural;106
Escuela Municipal El Salto;-34,440708;-71,28791;Municipal;LGBO;Pichidegua;Rural;39
Escuela Basica San Jose;-34,29586;-71,438766;Municipal;LGBO;Pichidegua;Rural;44
Escuela Municipal De Caleuche;-34,416889;-71,373161;Municipal;LGBO;Pichidegua;Rural;43
Liceo Bicentenario Latinoamericano De Pichidegua;-34,361252;-71,278816;Municipal;LGBO;Pichidegua;Urbano;549
Escuela Especial De Adultos F Nº 142;-34,39689636;-71,16795349;Municipal;LGBO;Peumo;Urbano;83
Liceo Jean Buchanan De Larrain;-34,397629;-71,1633;Municipal;LGBO;Peumo;Urbano;381
Escuela Basica Antonio De Zuniga;-34,394749;-71,170807;Municipal;LGBO;Peumo;Urbano;280
Escuela Municipal Alcalde G. Burmester;-34,391991;-71,183548;Municipal;LGBO;Peumo;Rural;156
Escuela Juan Valdes Ortuzar;-34,30508;-71,269783;Municipal;LGBO;Peumo;Rural;179
Escuela Basica Rosario De Codao;-34,343269;-71,230721;Municipal;LGBO;Peumo;Rural;117
Escuela Part. Luis Garcia De La Huerta;-34,355122;-71,216072;Part. Subvencionado;LGBO;Peumo;Rural;345
Escuela Municipal Osvaldo Ruiz Garcia;-34,293419;-71,089081;Municipal;LGBO;Coltauco;Urbano;216
Escuela Munic.Sbte Luis Cruz Martinez;-34,265369;-71,05497;Municipal;LGBO;Coltauco;Rural;229
Colegio Nuestra Señora De Loreto;-34,263939;-71,029198;Municipal;LGBO;Coltauco;Rural;287
Colegio Quillayquen Rinconada De Parral;-34,246971;-71,071388;Municipal;LGBO;Coltauco;Rural;140
Esc. Subteniente Julio Montt Salamanca;-34,2798;-71,02626;Municipal;LGBO;Coltauco;Rural;76
Esc. Lucila Godoy Alcayaga;-34,281872;-71,092583;Municipal;LGBO;Coltauco;Rural;80
Escuela Municipal De Lo De Cuevas;-34,231339;-70,999283;Municipal;LGBO;Coltauco;Rural;70
Escuela Municipal Josefina Vial De Vial;-34,231651;-71,039307;Municipal;LGBO;Coltauco;Rural;60
Escuela Municipal De Vina La Cruz;-34,325329;-71,146057;Municipal;LGBO;Coltauco;Rural;151
Escuela Municipal De Rinconada De Idahue;-34,292671;-71,146172;Municipal;LGBO;Coltauco;Rural;31
Escuela Capitan Ignacio Carrera Pinto;-34,27882;-71,062622;Municipal;LGBO;Coltauco;Rural;245
Escuela Subtte. Arturo Perez Canto;-34,318481;-71,135902;Municipal;LGBO;Coltauco;Rural;166
Colegio Amada Sofia Garcia;-34,294399;-71,082413;Part. Subvencionado;LGBO;Coltauco;Urbano;533
Escuela Agricola San Vicente De Paul;-34,21405;-70,999008;Part. Subvencionado;LGBO;Coltauco;Rural;326
Liceo Municipal Luis Gregorio Valenzuela Lavin;-34,26963;-70,950111;Municipal;LGBO;Coinco;Urbano;244
Escuela Municipal Chillehue;-34,282761;-70,98243;Municipal;LGBO;Coinco;Rural;130
Escuela Municipal Copequen;-34,249611;-70,926041;Municipal;LGBO;Coinco;Rural;202
Escuela Municipal El Rulo;-34,30899;-71,018837;Municipal;LGBO;Coinco;Rural;73
Liceo Claudio Arrau Leon;-34,22369;-70,962852;Municipal;LGBO;Doñihue;Urbano;589
Escuela Laura Matus Melendez;-34,22419;-70,968437;Municipal;LGBO;Doñihue;Urbano;493
Esc. De Parvulos Mis Primeros Pasos;-34,22344208;-70,96205902;Municipal;LGBO;Doñihue;Urbano;72
Colegio Municipal La Isla;-34,20977;-70,903801;Municipal;LGBO;Doñihue;Rural;223
Escuela Lo Miranda;-34,191521;-70,889687;Municipal;LGBO;Doñihue;Urbano;314
Colegio Republica De Chile;-34,18948;-70,881523;Municipal;LGBO;Doñihue;Rural;243
Escuela Cerrillos;-34,236622;-70,979523;Municipal;LGBO;Doñihue;Rural;74
Colegio Julio Silva Lazo;-34,211979;-70,947144;Municipal;LGBO;Doñihue;Rural;188
Escuela Plazuela;-34,19212;-70,90976;Municipal;LGBO;Doñihue;Rural;237
Liceo Francisco Antonio Encina Armanet;-34,29343;-71,30838;Municipal;LGBO;Las Cabras;Urbano;1032
Escuela Basica Romilio Arellano Troncoso;-34,28973;-71,305458;Municipal;LGBO;Las Cabras;Urbano;518
Escuela Osvaldo Correa Fuenzalida;-34,207451;-71,275673;Municipal;LGBO;Las Cabras;Rural;171
Escuela Municipal De Los Aromos;-34,178028;-71,363297;Municipal;LGBO;Las Cabras;Rural;208
Esc. Contramaestre Constantino Micalvi;-34,178261;-71,401711;Municipal;LGBO;Las Cabras;Urbano;393
Escuela Municipal Maestro Jorge Lopez Osorio;-34,257111;-71,383217;Municipal;LGBO;Las Cabras;Rural;304
Escuela Republica De Grecia;-34,220421;-71,440163;Municipal;LGBO;Las Cabras;Urbano;304
Colegio Ines De Suarez;-34,094021;-71,373611;Municipal;LGBO;Las Cabras;Rural;299
Escuela Municipal Vilma Aliaga Calderon;-34,16888;-71,325043;Municipal;LGBO;Las Cabras;Rural;315
Escuela Municipal De Santa Eugenia;-34,209122;-71,313766;Municipal;LGBO;Las Cabras;Rural;35
Escuela Teniente Hernan Merino Correa;-34,157059;-71,446426;Municipal;LGBO;Las Cabras;Rural;51
Colegio Maria Luisa Fabres Vergara;-34,083241;-71,473167;Municipal;LGBO;Las Cabras;Rural;27
Escuela Municipal De Palmeria;-34,20137;-71,209953;Municipal;LGBO;Las Cabras;Rural;7
Colegio Carmen Ojeda Santander;-34,10516;-71,343628;Municipal;LGBO;Las Cabras;Rural;24
Colegio Part.Sant.Virgen Maria;-34,1887;-71,34228709;Part. Subvencionado;LGBO;Las Cabras;Rural;0
Instituto Comercial Alberto Valenzuela Llanos De San Fernando;-34,57774;-70,98877;Serv. Local Educacion;LGBO;San Fernando;Urbano;764
Liceo De Hombres Neandro Schilling;-34,583179;-70,98922;Serv. Local Educacion;LGBO;San Fernando;Urbano;361
Liceo Eduardo Charme;-34,582939;-70,990097;Serv. Local Educacion;LGBO;San Fernando;Urbano;498
Liceo José Gregorio Argomedo;-34,577999;-70,988419;Part. Subvencionado;LGBO;San Fernando;Urbano;809
San Fernando College;-34,582161;-70,987617;Part. Subvencionado;LGBO;San Fernando;Urbano;1863
Colegio Inmaculada Concepcion;-34,580379;-70,98896;Part. Subvencionado;LGBO;San Fernando;Urbano;1292
Escuela Olegario Lazo Baeza;-34,59214;-70,987503;Serv. Local Educacion;LGBO;San Fernando;Urbano;370
Escuela Basica Isabel La Catolica;-34,587101;-70,98793;Serv. Local Educacion;LGBO;San Fernando;Urbano;593
Escuela Jorge Munoz Silva;-34,58511;-70,986992;Serv. Local Educacion;LGBO;San Fernando;Urbano;238
Colegio Giuseppe Bertoluzzi De Felip;-34,597599;-70,969917;Serv. Local Educacion;LGBO;San Fernando;Urbano;112
Escuela Maria Luisa Bouchon;-34,584469;-70,993294;Serv. Local Educacion;LGBO;San Fernando;Urbano;109
Escuela Villa Centinela;-34,575081;-70,994186;Serv. Local Educacion;LGBO;San Fernando;Urbano;551
Escuela Washington Omar Venegas;-34,58799;-70,995293;Serv. Local Educacion;LGBO;San Fernando;Urbano;140
Colegio Hermano Fernando De La Fuente;-34,58346939;-70,99421692;Serv. Local Educacion;LGBO;San Fernando;Urbano;64
Escuela Jose De San Martin;-34,594501;-70,979927;Serv. Local Educacion;LGBO;San Fernando;Urbano;85
Escuela Concentrac. Rural Sergio Verdugo Herrera;-34,68578;-70,870323;Serv. Local Educacion;LGBO;San Fernando;Rural;252
Escuela Bas.Abel Bouchon Faure;-34,532902;-70,966873;Serv. Local Educacion;LGBO;San Fernando;Rural;126
Escuela Abraham Lincoln De Agua Buena;-34,650211;-70,853607;Serv. Local Educacion;LGBO;San Fernando;Rural;158
Escuela Bas.San Jose De Los Lingues;-34,561661;-70,913788;Serv. Local Educacion;LGBO;San Fernando;Rural;145
Escuela Bernardo Moreno Fredes;-34,533169;-70,942543;Serv. Local Educacion;LGBO;San Fernando;Rural;129
Escuela Basica Antonio Lara Medina;-34,58168;-70,910461;Serv. Local Educacion;LGBO;San Fernando;Rural;232
Escuela Los Maquis;-34,48682;-70,828133;Municipal;LGBO;Malloa;Rural;8
Escuela Basica Gaspar Marin;-34,59584;-70,922737;Serv. Local Educacion;LGBO;San Fernando;Rural;85
Liceo Municipal Complejo Educ. Chimbarongo;-34,70829;-71,039803;Serv. Local Educacion;LGBO;Chimbarongo;Urbano;852
Escuela Bas.Fernando Arenas Almarza;-34,713612;-71,045174;Serv. Local Educacion;LGBO;Chimbarongo;Urbano;285
Escuela Municipal E-456;-34,696041;-71,032883;Serv. Local Educacion;LGBO;Chimbarongo;Urbano;225
Escuela Bas. Villa Convento Viejo;-34,720051;-71,053886;Serv. Local Educacion;LGBO;Chimbarongo;Rural;226
Escuela Municipal Tinguiririca Alto F-411;-34,657291;-70,95858;Serv. Local Educacion;LGBO;Chimbarongo;Rural;130
Escuela Municipal Las Quezadas F-413;-34,65118;-70,970757;Serv. Local Educacion;LGBO;Chimbarongo;Rural;98
Escuela Municipal F415 Lo Gonzalez;-34,66267;-71,001694;Serv. Local Educacion;LGBO;Chimbarongo;Rural;128
Escuela Bas. Jose Miguel Carrera Verdugo;-34,824928;-71,00322;Serv. Local Educacion;LGBO;Chimbarongo;Rural;219
Escuela Municipal F449 Peor Es Nada;-34,783298;-71,050003;Serv. Local Educacion;LGBO;Chimbarongo;Rural;129
Escuela Municipal F451 Codegua;-34,77301;-70,946327;Serv. Local Educacion;LGBO;Chimbarongo;Rural;141
Escuela Municipal F452 Santa Valentina;-34,711979;-70,930779;Serv. Local Educacion;LGBO;Chimbarongo;Rural;57
Escuela Municipal El Romeral F-455;-34,72728;-71,007233;Serv. Local Educacion;LGBO;Chimbarongo;Rural;133
Escuela Municipal G414 Barrio Estacion;-34,639919;-70,992119;Serv. Local Educacion;LGBO;Chimbarongo;Rural;66
Escuela Bas. Pedro Etcheverry;-34,677181;-70,953827;Serv. Local Educacion;LGBO;Chimbarongo;Rural;35
Escuela Municipal G448 Huemul;-34,85384;-70,969093;Serv. Local Educacion;LGBO;Chimbarongo;Rural;129
Escuela Municipal G453 San Jose De Lo Toro;-34,736191;-71,131973;Serv. Local Educacion;LGBO;Chimbarongo;Rural;44
Escuela Municipal;-34,74187088;-70,97489166;Serv. Local Educacion;LGBO;Chimbarongo;Rural;26
Escuela Santa Eugenia;-34,678329;-71,003181;Serv. Local Educacion;LGBO;Chimbarongo;Rural;162
Escuela Municipal Santa Isabel G-503;-34,704288;-70,955879;Serv. Local Educacion;LGBO;Chimbarongo;Rural;34
Escuela Municipal Las Mercedes G-507;-34,74202;-71,040497;Serv. Local Educacion;LGBO;Chimbarongo;Rural;118
Escuela Agricola Las Garzas;-34,67654;-70,997093;Part. Subvencionado;LGBO;Chimbarongo;Rural;323
Escuela Particular Melecia Tocornal;-34,735371;-70,977364;Part. Subvencionado;LGBO;Chimbarongo;Rural;219
Liceo San Francisco;-34,63797;-71,11911;Serv. Local Educacion;LGBO;Placilla;Urbano;329
Escuela Basica Raul Caceres Pacheco;-34,60482;-71,044228;Serv. Local Educacion;LGBO;Placilla;Rural;152
Escuela Municipal La Dehesa;-34,65509;-71,114853;Serv. Local Educacion;LGBO;Placilla;Rural;200
Escuela Municipal La Tuna;-34,627659;-71,069557;Serv. Local Educacion;LGBO;Placilla;Rural;131
Escuela Municipal Sn Luis De Manantiales;-34,6143;-71,069862;Serv. Local Educacion;LGBO;Placilla;Rural;6
Escuela El Amanecer;-34,603741;-71,109833;Serv. Local Educacion;LGBO;Placilla;Rural;118
Escuela Dany German Gonzalez Soto;-34,625111;-71,039513;Serv. Local Educacion;LGBO;Placilla;Rural;125
Colegio Basico Consolidado;-34,650249;-71,204147;Serv. Local Educacion;LGBO;Nancagua;Urbano;269
Escuela Bas. Ignacio Carrera Pinto;-34,663349;-71,21447;Serv. Local Educacion;LGBO;Nancagua;Rural;47
Escuela Básica Puquillay;-34,683891;-71,198029;Serv. Local Educacion;LGBO;Nancagua;Rural;162
Escuela Bas. Adriana Lyon Vial;-34,651451;-71,168907;Serv. Local Educacion;LGBO;Nancagua;Rural;268
Escuela Municipal Yaquil;-34,62302;-71,178658;Serv. Local Educacion;LGBO;Nancagua;Rural;64
Liceo Municipal Juan Pablo Ii;-34,649879;-71,199463;Serv. Local Educacion;LGBO;Nancagua;Urbano;513
Colegio Particular El Principito;-34,648788;-71,197983;Part. Subvencionado;LGBO;Nancagua;Urbano;758
Colegio Libertador O´Higgins De Chepica;-34,727009;-71,273651;Municipal;LGBO;Chépica;Urbano;706
Escuela Eugenio Ruiz-Tagle Montes;-34,72525;-71,319427;Municipal;LGBO;Chépica;Rural;6
Colegio Municipal Las Alamedas;-34,779449;-71,299507;Municipal;LGBO;Chépica;Rural;18
Colegio Municipal Emilia Salinas Diaz;-34,80476;-71,220818;Municipal;LGBO;Chépica;Rural;13
Escuela Luis Athas;-34,76572;-71,194489;Municipal;LGBO;Chépica;Rural;113
Escuela Lindorfo Montero Fuenzalida;-34,7467;-71,190323;Municipal;LGBO;Chépica;Rural;153
Escuela Luis Arturo Zuniga Fuentes;-34,749889;-71,237762;Municipal;LGBO;Chépica;Rural;159
Escuela Maria Marta Del Real Correa;-34,69841;-71,284172;Municipal;LGBO;Chépica;Rural;34
Escuela Hector Rodolfo Castillo Moreno;-34,772869;-71,266327;Municipal;LGBO;Chépica;Rural;11
Escuela Luz Maria Crespo Ureta De Kerestegian;-34,711651;-71,233002;Municipal;LGBO;Chépica;Rural;192
Escuela Carlos Donoso Rebolledo;-34,80294;-71,246597;Municipal;LGBO;Chépica;Rural;13
Colegio Cruz Maria;-34,776661;-71,160431;Municipal;LGBO;Chépica;Rural;16
Escuela Gabriela Mistral;-34,72031;-71,204498;Municipal;LGBO;Chépica;Rural;0
Escuela Estrella De David;-34,80323;-71,431999;Municipal;LGBO;Chépica;Rural;5
Colegio Luis Alejandro Alvarez Muñoz;-34,63695908;-71,37237549;Municipal;LGBO;Santa Cruz;Urbano;103
Liceo Municipal De Santa Cruz;-34,639061;-71,361763;Municipal;LGBO;Santa Cruz;Urbano;681
Liceo Bicentenario Instituto Politecnico Santa Cruz;-34,632061;-71,366127;Municipal;LGBO;Santa Cruz;Urbano;1185
Escuela Luis Oyarzun Peña;-34,64035;-71,369278;Municipal;LGBO;Santa Cruz;Urbano;639
Escuela Especial De Santa Cruz;-34,63597488;-71,36969757;Municipal;LGBO;Santa Cruz;Urbano;75
Escuela Maria Araya Valdes;-34,64587;-71,363693;Municipal;LGBO;Santa Cruz;Urbano;204
Escuela Municipal De Paniahue;-34,626011;-71,353279;Municipal;LGBO;Santa Cruz;Urbano;151
Escuela Granja Adeodato Garcia Valenzuela;-34,675201;-71,349617;Municipal;LGBO;Santa Cruz;Rural;128
Escuela La Finca;-34,586781;-71,433891;Municipal;LGBO;Santa Cruz;Rural;25
Escuela Municipal De Barreales;-34,622082;-71,372917;Municipal;LGBO;Santa Cruz;Rural;287
Esc. Municipal La Lajuela;-34,65913;-71,413658;Municipal;LGBO;Santa Cruz;Rural;55
Escuela Municipal De Quinahue;-34,695042;-71,3162;Municipal;LGBO;Santa Cruz;Rural;74
Escuela Municipal De Isla De Yaquil;-34,608631;-71,421356;Municipal;LGBO;Santa Cruz;Rural;205
Escuela Municipal De La Patagua;-34,695759;-71,366341;Municipal;LGBO;Santa Cruz;Rural;82
Escuela Municipal De Millahue De Apalta;-34,618839;-71,269188;Municipal;LGBO;Santa Cruz;Rural;121
Escuela Municipal De Cunaco;-34,652538;-71,288254;Serv. Local Educacion;LGBO;Nancagua;Rural;208
Escuela Municipal De Panama;-34,713551;-71,449722;Municipal;LGBO;Santa Cruz;Rural;11
Escuela Municipal De Los Maitenes;-34,67802;-71,466537;Municipal;LGBO;Santa Cruz;Rural;116
Escuela Municipal De Rincon De Yaquil;-34,561131;-71,475677;Municipal;LGBO;Santa Cruz;Rural;46
Colegio San Gregorio;-34,654598;-71,257858;Serv. Local Educacion;LGBO;Nancagua;Rural;29
Escuela Municipal De Guindo Alto;-34,66824;-71,297333;Municipal;LGBO;Santa Cruz;Rural;78
Escuela Angel Arrigorriaga;-34,67625;-71,309776;Municipal;LGBO;Santa Cruz;Rural;107
Instituto Regional Federico Errazuriz;-34,636841;-71,358688;Part. Subvencionado;LGBO;Santa Cruz;Urbano;1716
Liceo Maria Auxiliadora;-34,64212;-71,365578;Part. Subvencionado;LGBO;Santa Cruz;Urbano;862
Liceo De Lolol;-34,723949;-71,639313;Municipal;LGBO;Lolol;Urbano;418
Escuela Octavio Mujica Valenzuela;-34,710678;-71,601723;Municipal;LGBO;Lolol;Rural;246
Escuela Municipal Rinconada De Quiahue;-34,77375;-71,674553;Municipal;LGBO;Lolol;Rural;18
Escuela Municipal Juana Gonzalez;-34,703152;-71,770081;Municipal;LGBO;Lolol;Rural;27
Escuela Municipal Eduvigis Pantoja L;-34,837009;-71,596817;Municipal;LGBO;Lolol;Rural;16
Escuela Basica Hugo Urzua Urzua;-34,856171;-71,690514;Municipal;LGBO;Lolol;Rural;29
Escuela Basica Olga De Gomez;-34,808041;-71,627472;Municipal;LGBO;Lolol;Rural;19
Liceo Francisca De Paula Segura Y Ruiz;-34,5994;-71,652023;Municipal;LGBO;Pumanque;Urbano;266
Escuela Municipal De Nilahue Cornejo;-34,659962;-71,740303;Municipal;LGBO;Pumanque;Rural;171
Escuela Municipal De Mata Redonda;-34,529671;-71,596573;Municipal;LGBO;Pumanque;Rural;16
Escuela Penablanca;-34,520229;-71,698509;Municipal;LGBO;Pumanque;Rural;10
Escuela Municipal De Rincon Los Perales;-34,61821;-71,604553;Municipal;LGBO;Pumanque;Rural;21
Escuela Municipal De Palmilla De Reto;-34,55365;-71,661598;Municipal;LGBO;Pumanque;Rural;0
Escuela Margot Loyola Palacios;-34,59478;-71,360657;Municipal;LGBO;Palmilla;Urbano;339
Liceo San Jose Del Carmen;-34,52359;-71,372673;Municipal;LGBO;Palmilla;Rural;488
Escuela Municipal Santa Matilde;-34,467781;-71,3228;Municipal;LGBO;Palmilla;Rural;117
Escuela Jorge Errazuriz Echeñique;-34,478439;-71,359978;Municipal;LGBO;Palmilla;Rural;201
Escuela Rebeca Cadiz Valenzuela;-34,516029;-71,394653;Municipal;LGBO;Palmilla;Rural;32
Escuela Municipal Valle Hermoso;-34,53492;-71,331741;Municipal;LGBO;Palmilla;Rural;9
Escuela Municipal Lihueimo;-34,51833;-71,422394;Municipal;LGBO;Palmilla;Rural;25
Liceo Bicentenario Victor Jara Martinez;-34,480862;-71,477417;Municipal;LGBO;Peralillo;Urbano;430
Colegio Manuel Rodriguez Erdoiza;-34,450089;-71,54657;Municipal;LGBO;Peralillo;Urbano;360
Escuela Gustavo Rivera Bustos;-34,46476;-71,398827;Municipal;LGBO;Peralillo;Rural;253
Escuela Municipal Sara Ravello Parraguez;-34,520321;-71,579239;Municipal;LGBO;Peralillo;Rural;38
Escuela Marta Valdes Echeñique;-34,402241;-71,432404;Municipal;LGBO;Peralillo;Rural;11
Escuela Pablo Neruda;-34,512379;-71,451141;Municipal;LGBO;Peralillo;Rural;25
Liceo Agustin Ross Edwards;-34,39011;-72,002296;Municipal;LGBO;Pichilemu;Urbano;607
Escuela Pueblo De Viudas;-34,403469;-71,996239;Municipal;LGBO;Pichilemu;Rural;191
Escuela Municipal Villa San Pedro;-34,54948;-71,907272;Municipal;LGBO;Paredones;Rural;12
Escuela Coguil;-34,230438;-71,893288;Municipal;LGBO;Pichilemu;Rural;10
Escuela Padre Alberto Hurtado C.;-34,4967;-71,961037;Municipal;LGBO;Pichilemu;Rural;20
Escuela La Aguada;-34,325279;-71,824677;Municipal;LGBO;Pichilemu;Rural;9
Escuela Cahuil;-34,482208;-72,011551;Municipal;LGBO;Pichilemu;Rural;176
Escuela Ciruelos;-34,462502;-71,972031;Municipal;LGBO;Pichilemu;Rural;113
Colegio Libertadores;-34,390949;-72,018204;Municipal;LGBO;Pichilemu;Rural;293
Colegio De La Preciosa Sangre;-34,389999;-72,008904;Part. Subvencionado;LGBO;Pichilemu;Urbano;554
Liceo Municipal Pablo Neruda;-33,960548;-71,822151;Municipal;LGBO;Navidad;Urbano;440
Colegio Municipal Divina Gabriela;-33,95422;-71,830116;Municipal;LGBO;Navidad;Urbano;193
Escuela Francisco Chavez Cifuentes;-33,94347;-71,737228;Municipal;LGBO;Navidad;Urbano;253
Escuela Municipal El Manzano;-34,087669;-71,91256;Municipal;LGBO;Navidad;Rural;6
Escuela Basica Confederacion Helvetica;-34,0028;-71,8535;Municipal;LGBO;Navidad;Rural;267
Escuela Municipal La Boca De Rapel;-33,926891;-71,84127;Municipal;LGBO;Navidad;Rural;60
Escuela Municipal Padre Alberto Hurtado;-34,042938;-71,904877;Municipal;LGBO;Navidad;Rural;20
Escuela Municipal Maria Williams;-34,00885;-71,720512;Municipal;LGBO;Navidad;Rural;42
Liceo Bicentenario El Rosario;-34,116539;-71,727577;Municipal;LGBO;Litueche;Urbano;434
Escuela Municipal Quelentaro;-34,025639;-71,542458;Municipal;LGBO;Litueche;Rural;220
Escuela Municipal Matancilla;-34,069641;-71,608597;Municipal;LGBO;Litueche;Rural;7
Escuela Municipal Pulin;-34,132801;-71,571564;Municipal;LGBO;Litueche;Rural;120
Escuela Municipal Paso Del Soldado;-34,126171;-71,896988;Municipal;LGBO;Litueche;Rural;10
Escuela Municipal Manquehua;-34,133579;-71,714027;Municipal;LGBO;Litueche;Rural;24
Escuela Prof. Monica Silva Gomez;-34,2099;-71,654053;Municipal;LGBO;La Estrella;Urbano;466
Escuela Municipal Guadalao;-34,263569;-71,5467;Municipal;LGBO;La Estrella;Rural;26
Escuela Municipal La Aguada;-34,245392;-71,727097;Municipal;LGBO;La Estrella;Rural;40
Liceo Municipal Instituto Cardenal Caro;-34,397259;-71,619331;Municipal;LGBO;Marchihue;Urbano;339
Escuela Municipal La Quebrada;-34,47723;-71,703621;Municipal;LGBO;Marchihue;Rural;15
Escuela Municipal El Sauce;-34,398159;-71,725906;Municipal;LGBO;Marchihue;Rural;31
Escuela René Carvajal Madariaga;-34,364342;-71,59494;Municipal;LGBO;Marchihue;Rural;28
Escuela Trinidad;-34,377621;-71,559799;Municipal;LGBO;Marchihue;Rural;9
Escuela Municipal Lo Marchant;-34,457581;-71,672653;Municipal;LGBO;Marchihue;Rural;35
Escuela Municipal Nobeles De Chile;-34,35622;-71,735237;Municipal;LGBO;Marchihue;Rural;196
